year,Built,Air,Land,Water,Sociodemographic,Environmental Quality,OBJECTID,FIPS,COUNTY,COUNTY_NAM,_match,Water
2010,0.375,0.18,0.92,-0.079,0.57,0.45,3049,55001,Adams,Adams,32.63310395,-0.079
2010,-1.66,-0.077,-0.52,0.588,-0.006,-0.949,3050,55003,Ashland,Ashland,23.32488229,0.588
2010,-0.43,-0.122,1.08,0.127,-0.15,0.025,3051,55005,Barron,Barron,21.69503803,0.127
2010,-0.987,-0.063,-0.631,0.275,-0.218,-0.643,3052,55007,Bayfield,Bayfield,23.83194495,0.275
2010,0.217,-0.681,0.569,0.662,-1.316,0.172,3053,55009,Brown,Brown,1.448750453,0.662
2010,-0.375,1.466,0.454,-0.338,-0.03,0.692,3054,55011,Buffalo,Buffalo,79.210431,-0.338
2010,-1.033,-0.154,0.1,0.426,0.527,-0.599,3055,55013,Burnett,Burnett,20.53603767,0.426
2010,1.437,-0.399,0.696,0.724,-1.117,0.999,3056,55015,Calumet,Calumet,11.66244114,0.724
2010,0.496,0.708,0.536,0.617,-0.47,0.982,3057,55017,Chippewa,Chippewa,51.75660992,0.617
2010,0.354,0.384,0.559,0.679,0.371,0.63,3058,55019,Clark,Clark,40.02173126,0.679
2010,-0.023,-0.241,0.708,0.665,-0.69,0.249,3059,55021,Columbia,Columbia,17.38500543,0.665
2010,-0.289,0.646,0.399,0.215,0.142,0.339,3060,55023,Crawford,Crawford,49.51104672,0.215
2010,-0.015,0.093,1.113,0.797,-2.731,0.84,3061,55025,Dane,Dane,29.48207171,0.797
2010,0.897,1.454,1.005,0.74,-0.408,1.756,3062,55027,Dodge,Dodge,78.77580587,0.74
2010,-1.343,0.785,0.624,-0.121,-0.698,-0.037,3063,55029,Door,Door,54.54545455,-0.121
2010,-0.399,0.001,-0.603,-0.034,-0.595,-0.296,3064,55031,Douglas,Douglas,26.14994567,-0.034
2010,0.511,0.378,0.901,0.441,-0.568,0.877,3065,55033,Dunn,Dunn,39.80441869,0.441
2010,-0.125,0.051,0.361,0.575,-1.242,0.327,3066,55035,Eau Claire,Eau Claire,27.96088374,0.575
2010,-0.49,0.586,-1.309,-0.202,0.719,-0.398,3067,55037,Florence,Florence,47.33792104,-0.202
2010,0.344,-0.653,0.74,0.787,-0.484,0.214,3068,55039,Fond du Lac,Fond du Lac,2.46287577,0.787
2010,-0.945,0.74,-1.212,-0.274,0.958,-0.571,3069,55041,Forest,Forest,52.91561029,-0.274
2010,-0.298,-0.721,0.871,0.571,-0.315,-0.195,3070,55043,Grant,Grant,0,0.571
2010,0.268,0.233,0.816,0.588,-0.742,0.694,3071,55045,Green,Green,34.5526983,0.588
2010,-0.463,0.683,1.044,0.597,0.049,0.518,3072,55047,Green Lake,Green Lake,50.85114089,0.597
2010,0.199,0.274,0.99,0.469,-0.855,0.718,3073,55049,Iowa,Iowa,36.03766751,0.469
2010,-1.44,-0.13,-1.508,-0.21,0.458,-1.329,3074,55051,Iron,Iron,21.40528794,-0.21
